10 0.0544 0.0782 1.3154 1.3584
30 0.0572 0.133 1.5168 1.5484
50 0.0606 0.1606 1.7026 1.7438
70 0.0672 0.1696 2.8072 2.980
90 0.1152 0.4192 6.7654 8.496
